ranzeh,he got no car
﻿okcinn,?
theriddler9010,???
gt1jinkz,GOOOOOOOOOOOOOOOOOO
balloutfrm64th,?
itsyeboii_mario,JAWN CAR BRO
nitronova_,He has no car @yugi2x
seanthumb,ayoo
dsmkp,pfft
david_boii96,YALL NIGGAS NOT SERIOUS
memoelguapo13,he has no car OL
taxxki,he got no car
rhitzy,sob
nottherealneku,HURRY UPP
jetxroma,rayasiWW rayasiWW rayasiWW
t1ny002,he got no car
0xn0,Toast retrieval arc
different_level,imGlitch imGlitch imGlitch imGlitch
dislexic_ai,Uber
qvdizzy,RUNN
yourrrrrc,LOL
pelonsvault,he has tunnels all over the map its over
kappamanjason,jason has no car
johnn_c_,chat i hate adssss sighhhh
vardrid_wantzidanebackpls,#ban zibz
mdrafee_,use Jason
lxlliz122,gg
munchlaxx96,take arkys car😂
glitchzzzzzz,is j not coming
lxlliz122,he’s gone
dolig10,jawhn
sohiiwhatsup,HURRY UP GANG
jetxroma,rayasiGodDid rayasiGodDid rayasiCaptainTaiwan rayasiCaptainTaiwan rayasiCaptainTaiwan rayasiCaptainTaiwan
davidx107__,HOLY FUCKING STALL
redd_shift,HE GONE
xenoezy,that uber been gone nigga omePfft
jaycondones2x,mmm
wolffein,hes gone pfft
ooodayooo,nice stall
munaadgaming,@johnn_c_ then sub up
saunturs,mmm
different_level,??????????
mariewuana,mhm
puredxsignss,LOL
suf_codonys,tell him u will drop him and then scam
syntax015,WW ultra
imrakey,jawnnn taking him home what are y’all on
chibbzz_,he be prefiring his rides he gone
estevvvan,hes already gone LOL
stayspeedy17,he gone bro
ssamppa_,LOL
thelumpts,how i tell you he gone
twanwitit,WW ultra
jordankekw,LO
jakmacc,horror movie type speed
lxlliz122,hurry he’s with jawhn
death1ight,LOL ͏
qvdizzy,he prob been called the uber
jasonandsakura,BRO WTF ARE YOU DOING
zhini28,man he already in the Uber
kolapanda,LMFAOOO
kpmelo,that uber was pre called pfft
sheluvdrizzy_,lol
krishzen,LOL ͏
omashurider31,hurry gang
neokio,MONKA
smu_67,LOL
h0zay_,LMFAO
puredxsignss,LMFAO
1zulu1_,??
cristian_negrete,wtf
hxllfyee,LMFAO
suppyduppyy,LMFAO
honeygoldmango,LOL
mattpng,LOL ͏
jetxroma,omgg
azjramirez,wtf LMFAO
glynn2798,LMFAO
blxzz2x,LMAOO
rhn_noah510,hes gone
colingdegz,sold ur soul type pajamas
okandy_,ome44
luqarioh,LOL
ejc425,MONKA
smhsteven,?
woogehs,sob
stiib,LMFAO
rubbert0e,MONKA
niceharris,LOL
krishzen,MONKA
starkate829,catch him
bruhlend8,LOL
kolapanda,LMFAOOOOOOOO
primalatodo,OOO
gabo_3000s,lol
puredxsignss,LOL
jaycondones2x,LO
speedygjr,LMFAO ͏
jmat137,LOL
ginza1_,LOL
qvdizzy,LOL
dizzyjoey_,LOL
dolig10,LOL
mattpng,LMFAO
theriddler9010,LMFAO
neokio,LMFAOOOOOOOOOOOOOOOOOOOOO
imhance,LMFAOO
yourrrrrc,wtff
miistehhh,LMAO
pertwizzle,LOL
dissolvve,LMFAO
cristian_negrete,LOL
usootuff,LOL
sincerelylucki,LMFAO
capbosss,LOL
malanidraf,LMAO
ismail319,jawhn will drive him
imheyzues100,LOL
wolffein,LOL
nmsakuza,OSJ TheIlluminati TheIlluminati
mdrafee_,run bro
primalatodo,LOL
piayboiaiex,LO
jigneshverma,@johnn_c_ subup
angle3ev,Take ur time gang
illusivej,LOL
kaethus,LMFAO
jjco_5280,Spazzz
sheluvdrizzy_,MONKA
paltry_collie1,LMFAOOO
ojdoge,LOL
xozebra,LMFAO
nmsakuza,TheIlluminati TheIlluminati TheIlluminati
azjramirez,LOL
n1k0_420_,LOL
neokio,LO
winzoot,LMFAO ͏
puredxsignss,LMFAO
y0dr3w,LMFAO
goatkillz09,Wearing bs
oklistenup00,LOL
bruhlend8,LOOLO
blubblublublub,LMFAO
xozebra,LMFAO ͏
raxzio,the girlfriend effect
mattpng,LOL
hxllfyee,LMAOOO
nmsakuza,TheIlluminati TheIlluminati TheIlluminati TheIlluminati TheIlluminati
kolapanda,LOL
h0zay_,LOL
davidx107__,LMFAO
qvdizzy,EW

dylvvnn,LOL
dr0deo,LOL ͏
