name,text,sentiment,,,,,,
DAVEWTW,OOOOOO,1,,,,,,
prizz0095,jah,1,,,,,,
breanna62799,jah jah jah,1,,,,,,
LandfilI,@jervas2 ask a clanker,0,,,,,,
harley_29palmz,Perris is good tho,1,,,,,,
comtigo,How much long until they skydive,1,,,,,,
xstingxrayx,Jah,1,,,,,,
DAVEWTW,OOOOOOOOOO,2,,,,,,
itskeyah,jah,2,,,,,,
terminal_rider,jah,2,,,,,,
jordanking23_,they all need jet packs holy shit,1,,,,,,
Mort4Legend,@aiden Yo wassup how you get the staff badge its look good databaseMhm,1,,,,,,
zayyyyyy2x,can u unban me from kai stream,1,,,,,,
superhere0,OOOO,1,,,,,,
vivisoulja_,should've ordered everyone jetpacks broke asf omgBruh,0,,,,,,
frozenconez,jah,1,,,,,,
b1gcountry316,HOLY AURA,2,,,,,,
unwording,OOOO,2,,,,,,
davioitu,jah,1,,,,,,
Sayylless,gg,0,,,,,,
prizz0095,jah ͏,1,,,,,,
marcwzz,catGroove lildans catGroove lildans catGroove lildans catGroove lildans,1,,,,,,
TheKMaster1308,I see chat really asking stupid questions,0,,,,,,
Cyp_Grant,"@realyes1 thanks bro, im watching live!",1,,,,,,
RetroGuitar67,OOOOO,1,,,,,,
Neebskii,jah,1,,,,,,
Jerumba,MONKA,0,,,,,,
frozenconez,kaysan32,1,,,,,,
notteblu3,they probably went there before him ngl,1,,,,,,
DAVEWTW,TONIGHT GNNA BE A GOOD NIGHT,2,,,,,,
imSnapperz,jah,1,,,,,,
shohei0htani,"theres a skydive place thats like 40 minutes, they mustve been full",0,,,,,,
jervas2,@LandfilI ok,1,,,,,,
prizz0095,jah,1,,,,,,
248eb,which guys are skydiving,1,,,,,,
Madame_Jaeger,jah,1,,,,,,
lilrodneywiththebigbutt,sunny you should make a prediction poll if he passes out mid fall or not,1,,,,,,
imSnapperz,jah,1,,,,,,
NotWolfGod,jah,1,,,,,,
DAVEWTW,GOOD NIGHT,2,,,,,,
XeiumX7,jah,1,,,,,,
brayon_101,jah,1,,,,,,
Shi_Shizzl,OOOO,2,,,,,,
lea__aaaaa,OOOO,2,,,,,,
prizz0095,jah ͏,1,,,,,,
vmulla___,@manyone_ no helipad,1,,,,,,
Madame_Jaeger,wooohooo,1,,,,,,
vivisoulja_,wideBoink,1,,,,,,
killacam08231,whare they going,1,,,,,,
DAVEWTW,GOOD GOOD NIGHT,2,,,,,,
harley_29palmz,fsmDancey2 fsmDancey,2,,,,,,
Aiden,@Mort4Legend click on the badge then theres a link to the jobs page,1,,,,,,
Cyp_Grant,@fyzke ??,0,,,,,,
notvmptyy,wideBoink,1,,,,,,
cryptic_locked,fsmABUH fsmABUH fsmABUH,1,,,,,,
ManyOne_,jah,1,,,,,,
frozenconez,kaysan32 EDM,1,,,,,,
Shi_Shizzl,imm readydydyd,1,,,,,,
ALEXMANCOOL,I just hope theres no lag,1,,,,,,
Rytus_,IM SUPER EXCITED,2,,,,,,
pandaaaa777,nooooooooooooooooooooooooooo,0,,,,,,
prizz0095,me?,1,,,,,,
WideHardPepega,cant believe WERE jumping MONKA,1,,,,,,
K1NGW3ND1G0,SO ALIIVEE,1,,,,,,
XeiumX7,@dannyyyyhaha what,1,,,,,,
Kuzler,me?,1,,,,,,
twisted_86,uuh,0,,,,,,
shohei0htani,ITS SO FUN,2,,,,,,
K1NGW3ND1G0,WEEE,1,,,,,,
naee_wtw,WE,1,,,,,,
xdsznnnn,me?,1,,,,,,
Neebskii,me?,1,,,,,,
Madame_Jaeger,me?,1,,,,,,
omgbruhscott,we,1,,,,,,
b1gcountry316,I dont wanna,0,,,,,,
twisted_86,we?,1,,,,,,
bossmansixD,me?  I DONT HAVE A PARACHUTE,0,,,,,,
jervas2,us,1,,,,,,
notteblu3,any new paint leaks? Hmm,1,,,,,,
zillaXsantana,fsmSpin fsmSpin fsmSpin,1,,,,,,
ANormalDumbass,me? ͏,1,,,,,,
jervas2,usus,1,,,,,,
Rytus_,IM SUPER EXCITED,2,,,,,,
illerblade,just hope it doesnt f,1,,,,,,
stxtikz,sybau,0,,,,,,
jervas2,ususus,1,,,,,,
recovery_e,hour??,1,,,,,,
HAWNCH0,OOOO,2,,,,,,
MrDesertPunk,THE PARACHUTES,1,,,,,,
marcopoIomarco,yes we are parasocial,0,,,,,,
bossmansixD,BatChest,0,,,,,,
Kuzler,Don't throw up,0,,,,,,
vulkbtw223,CHILLZ BatChest,1,,,,,,
brayon_101,fsmPray NO LAG PLEASE,1,,,,,,
pAsl,BatChest,0,,,,,,
DRKNESS_x,...,0,,,,,,
ak47_504_yt,ME?,1,,,,,,
KingSkullgan,OH SHIT,2,,,,,,
Avcadoz,WEEE,2,,,,,,
xdsznnnn,uuh,0,,,,,,
HAWNCH0,same,1,,,,,,
tryhard_legendx,..,0,,,,,,
bossmansixD,BatChest CHILLS,0,,,,,,
terminal_rider,uuh,,,,,,,
Neebskii,someone link that tiktok again,,,,,,,
KingSkullgan,hell no,,,,,,,
MrDesertPunk,I wanna go,,,,,,,
og2tone612,I’m scared!,,,,,,,
FlogrownJade,…,,,,,,,
notvmptyy,same,,,,,,,
kaden53x,I FORGOT MY PARACHUTE,,,,,,,
u_musty445,fsmNeow fsmNeow,,,,,,,
superhere0,omgBruh 1 hr?,,,,,,,
b1gcountry316,I'm gonna yack,,,,,,,
player_slicer,who is we?,,,,,,,
twisted_86,uuh,,,,,,,
Rytus_,ID JUMP OUT IN A HEARTBEAT,,,,,,,
Kuzler,WEEE 🪂,,,,,,,
bossmansixD,I'm not typing dots,,,,,,,
LandfilI,ive never skydived before Pog,,,,,,,
urlove_kayla2,No we no no 🙂‍↔️,,,,,,,
BKAT2000,oh,,,,,,,
ANormalDumbass,im scared,,,,,,,
n_aail,yo ass on a chair,,,,,,,
xdsznnnn,WICKED,,,,,,,
ManyOne_,FirstTimeChadder,,,,,,,
2muchdrank909,bro that’s terrifying,,,,,,,
Mort4Legend,He always says we,,,,,,,
breanna62799,dogScared,,,,,,,
HIIMJERZEY,im home,,,,,,,
unwording,cozyChillin,,,,,,,
donovanmic,WE are skydiving,,,,,,,
bossmansixD,not giving you the satisfaction,,,,,,,
sher0911arr,@b1gcountry316 u been skydiving ?,,,,,,,
ripxgroovy,WE are jumping,,,,,,,
Neebskii,...,,,,,,,
khanmaaz_7,"i forgot my parachute, am i good",,,,,,,
marcopoIomarco,@FeelsSunnyMan it's almost like I'm holding Kai's hand NAILS,,,,,,,
dollfaccee,Sunny make some popcorn,,,,,,,
