cinna,lmao
yourragegaming,yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG
cinna,@cinna LO
yourragegaming,www
plaqueboymax,fat ass cut on his neck
yourragegaming,Clap
plaqueboymax,LOL
yourragegaming,yrgeYRG yrgeYRG yrgeYRG yrgeYRG
yourragegaming,WW WW
yourragegaming,WWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWWW
plaqueboymax,LMFAO
plaqueboymax,pfft
cinna,she drunk sob
plaqueboymax,LOL
plaqueboymax,ABDI TRIPPIN
plaqueboymax,LOL
plaqueboymax,LMAOOOO
plaqueboymax,LMAOOO 😭😭😭
yourragegaming,damn thats like 300k each person
plaqueboymax,Son
plaqueboymax,LOL
yourragegaming,BTA
yourragegaming,yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG
plaqueboymax,BOTTOM 5 ͏
plaqueboymax,………
xqc,@xQc Accept him and then block him
yourragegaming,NAS GETS 300K EASY
yourragegaming,BELT TO ASS
plaqueboymax,lmfao
yourragegaming,RDc dick riders can suck my big ass johnson
yourragegaming,BTA
plaqueboymax,LMFAO
yourragegaming,YUHH GIMME 10K yrgeJIT
plaqueboymax,LMFAOOO
plaqueboymax,IS THIS NIGGA TAKING A SHIT
yourragegaming,WW WW WW WW WW
plaqueboymax,lmfao sobv
yourragegaming,wwwwww
plaqueboymax,NAHH
yourragegaming,yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG
plaqueboymax,CAUGHT
yourragegaming,BELT BELT BELT
plaqueboymax,what is bro shaking
yourragegaming,WW 󠀀
plaqueboymax,LMFAO
plaqueboymax,AGENT99
yourragegaming,BELT TO ASS
yourragegaming,WW
plaqueboymax,why he kinda look like John
plaqueboymax,LMAOOOOO
xqc,dono’s gf SCHIZO
yourragegaming,BELT
yourragegaming,BELT
yourragegaming,BELT 2 ASS
yourragegaming,BTA
plaqueboymax,lmfao sob
cinna,ome44 LOL
yourragegaming,BELT
plaqueboymax,plaqueboyBoyslowdown plaqueboyBoyslowdown plaqueboyBoyslowdown plaqueboyBoyslowdown plaqueboyBoyslowdown plaqueboyBoyslowdown
xqc,buh vision0
cinna,ome44
plaqueboymax,fairs
plaqueboymax,pfft
plaqueboymax,lol
plaqueboymax,Wtffff
plaqueboymax,plaqueboyBoyslowdown plaqueboyBoyslowdown plaqueboyBoyslowdown plaqueboyBoyslowdown plaqueboyBoyslowdown plaqueboyBoyslowdown
yourragegaming,yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG  yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG
plaqueboymax,……..
yourragegaming,WW WW WW WW
plaqueboymax,W BAIT
yourragegaming,Ts rigged but grats
yourragegaming,yrgeYRG yrgeYRG yrgeYRG yrgeYRG
plaqueboymax,L R
plaqueboymax,TOP 0
yourragegaming,wwwww
xqc,"@Krist0fh he gets his trials carried by his team anyways, he just afks"
plaqueboymax,ome44
yourragegaming,WW WW
yourragegaming,yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG
yourragegaming,WW WW WW WW
plaqueboymax,that fool takin a shit
plaqueboymax,LOL
xqc,JAJA x
xqc,i think he means what rank
yourragegaming,BTA
yourragegaming,yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG
yourragegaming,@not_brozo ON GOD
plaqueboymax,agent and allen combo
xqc,go mess up them bungulators
yourragegaming,$250k for nas
cinna,ome48
yourragegaming,BTA
cinna,@Kaysan get fucked ome44
cinna,exactly
cinna,@Kaysan ome44
yourragegaming,yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG
yourragegaming,that’s my goat!!!
yourragegaming,AURA
plaqueboymax,LMAOOO
plaqueboymax,zayDance
yourragegaming,BELT
yourragegaming,BELT TO ASS
yourragegaming,www
yourragegaming,MMMMM
plaqueboymax,😂😂😂
yourragegaming,yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG
plaqueboymax,PRINCESSS PINK BOYYY 🤣🤣🤣🤣🤣
yourragegaming,BTA
yourragegaming,BTA
yourragegaming,BTA
yourragegaming,CAME AND CONQUERED
plaqueboymax,sob
yourragegaming,fanumBTA fanumBTA fanumBTA fanumBTA fanumBTA fanumBTA fanumBTA fanumBTA
yourragegaming,BELT
yourragegaming,BTA
plaqueboymax,LOL
plaqueboymax,plaqueboyBoyslowdown plaqueboyBoyslowdown plaqueboyBoyslowdown plaqueboyBoyslowdown plaqueboyBoyslowdown plaqueboyBoyslowdown plaqueboyBoyslowdown plaqueboyBoyslowdown plaqueboyBoyslowdown plaqueboyBoyslowdown plaqueboyBoyslowdown
yourragegaming,BELT BELT
plaqueboymax,L TOP 5
plaqueboymax,Yusuf cousin
xqc,@PapaPercules looking glass through the ass mf man
plaqueboymax,fairs
yourragegaming,BTA
yourragegaming,WW BELT
yourragegaming,BELT
yourragegaming,BTAAA
yourragegaming,wwww
plaqueboymax,FutureMan
xqc,girlfriend and bought a house.. hohoho... pussy LULW
yourragegaming,BELT
cinna,ome44
yourragegaming,yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG
plaqueboymax,boyslowmax
plaqueboymax,LOSERRR
plaqueboymax,plaqueboyBoyslowdown plaqueboyBoyslowdown plaqueboyBoyslowdown plaqueboyBoyslowdown plaqueboyBoyslowdown plaqueboyBoyslowdown plaqueboyBoyslowdown plaqueboyBoyslowdown plaqueboyBoyslowdown plaqueboyBoyslowdown plaqueboyBoyslowdown plaqueboyBoyslowdown
yourragegaming,yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG
plaqueboymax,W BAITT
yourragegaming,BTA!!
plaqueboymax,HAHAHHAHAHAH
yourragegaming,B2A
yourragegaming,yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG
plaqueboymax,PRINCESSS PINK BOYYY 🤣🤣🤣
yourragegaming,yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG
yourragegaming,BTA
yourragegaming,yrgeHAHA yrgeHAHA yrgeHAHA yrgeHAHA
plaqueboymax,somli?
yourragegaming,yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG
yourragegaming,BTA
plaqueboymax,boyslowmax ͏
yourragegaming,wwwwww
yourragegaming,yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG
yourragegaming,WW
plaqueboymax,LOL LMAOOO LMAOOO
yourragegaming,WWWWW
plaqueboymax,TOP5 GON GET U BRO
yourragegaming,yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG
plaqueboymax,LMAOOO
yourragegaming,yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG
plaqueboymax,Somalian final boss
yourragegaming,BTA
yourragegaming,BELT
yourragegaming,hi
yourragegaming,BELT ͏
xqc,nope
yourragegaming,BTA
xqc,is not
yourragegaming,WWWWWWW
plaqueboymax,LOL
cinna,LMAO
plaqueboymax,WHO PLAYING A SOUNDBOARD 😭😭😭
yourragegaming,BTA
yourragegaming,BELT TO ASS
plaqueboymax,LOL
plaqueboymax,LOL
yourragegaming,silkyDance2 silkyDance2 silkyDance2 silkyDance2 silkyDance2 silkyDance2 silkyDance2 silkyDance2 silkyDance2 silkyDance2
yourragegaming,fanumBTA fanumBTA fanumBTA
plaqueboymax,......
xqc,no its easy
yourragegaming,WE DID ITTTTTTTTTTTTTTTTTT
yourragegaming,BTA
plaqueboymax,this 🇸🇴 plaqueboyPinkstar ??
yourragegaming,yrgeHAHA yrgeHAHA yrgeHAHA
cinna,gasp kaysan
yourragegaming,BTA
yourragegaming,BTAAAA
plaqueboymax,LOL
yourragegaming,yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG
yourragegaming,yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG
yourragegaming,Nas 200k
yourragegaming,BTA
yourragegaming,spit the money with refs
plaqueboymax,TOP - 1
plaqueboymax,LMAOOOOOOO
plaqueboymax,PRINCESSS PINK BOYYY 🤣
plaqueboymax,hahahahahahahhahah
yourragegaming,BELT
xqc,Oh no! I have to play the grindy part of the game what will I do?!?!?!
xqc,HUH oh yeah?
yourragegaming,BELT
plaqueboymax,fool shook his face to reset
plaqueboymax,you too easy 😂
plaqueboymax,"""ima keep it a buck"" 😂😂😂"
xqc,nah ez af
xqc,its easy on storm
yourragegaming,@ilFara1 o?
plaqueboymax,Got Em lol
yourragegaming,clap clap clap
yourragegaming,BELT
yourragegaming,BTA
xqc,@ShutTheFckUpPlease sybau
yourragegaming,yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG
yourragegaming,bta
yourragegaming,wwwwwwwwwww
yourragegaming,BTA
yourragegaming,BELT BELT BELT
yourragegaming,BELT
yourragegaming,yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG
yourragegaming,BELT
plaqueboymax,LOL LOL
xqc,no its easiest one
yourragegaming,fanumBTA fanumBTA fanumBTA fanumBTA fanumBTA fanumBTA fanumBTA fanumBTA fanumBTA fanumBTA fanumBTA fanumBTA fanumBTA fanumBTA
plaqueboymax,Somalian niggas
xqc,How did you do plants?
yourragegaming,BTA
cinna,ome44
plaqueboymax,good methods
cinna,@Kaysan gasp
plaqueboymax,top 10000000
yourragegaming,B2A
plaqueboymax,hahahahahah
plaqueboymax,where the discord at bro
yourragegaming,BELT
yourragegaming,BELT TO ASS
yourragegaming,bta
yourragegaming,yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG
yourragegaming,BELT
plaqueboymax,Bottom 5
yourragegaming,YRG ON TOPPPPPPPP
plaqueboymax,plaqueboyBoyslowdown plaqueboyBoyslowdown plaqueboyBoyslowdown plaqueboyBoyslowdown
yourragegaming,W CHIP
plaqueboymax,i’m telling cord is full of losts
xqc,@xQc electromagnetic storm
yourragegaming,Wwwwwww
yourragegaming,BTA yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG
yourragegaming,BELT
yourragegaming,qqwwww
yourragegaming,BTA
yourragegaming,TOO EZ
plaqueboymax,W c;ickbait
yourragegaming,BTA
plaqueboymax,HOW DO YOU KNOW IM SOMALI
yourragegaming,BELT BELT BELT
plaqueboymax,WHO PLAYING A SOUNDBOARD 😭
xqc,Plink
plaqueboymax,princess WeDidThat
yourragegaming,BELT
yourragegaming,BTA
yourragegaming,WWWWWW
yourragegaming,@llamaatrauma carried this team
yourragegaming,yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG yrgeYRG
xqc,@littlecheese989 Pepepains
yourragegaming,BELT
xqc,bought a girlfriend?
plaqueboymax,#stopsomalihate
yourragegaming,gg HATE THREAD
yourragegaming,BTA
yourragegaming,BTA
plaqueboymax,24 hour thats how u scammed
plaqueboymax,LUL gg’s
yourragegaming,yrgeYRG 🏆
yourragegaming,BELT
yourragegaming,BELT
yourragegaming,BTA
yourragegaming,BTA
yourragegaming,BTA
xqc,probe one is easiest imo. it's boring though
cinna,he doesnt need to flex
cinna,@Kaysan omg not the break up
yourragegaming,STRAIGHT BELT
yourragegaming,LMAAOOO
yourragegaming,WW MVP NAS
plaqueboymax,5 fps
yourragegaming,FAX NASSS
